REPORT_NO,CERTI_IMAGE,B2B_MP4,HEART_IMAGE,PLOTTING_IMAGE,PURITY,COLOR,REPORT_COMMENT,CROWN_ANGLE,CROWN_HEIGHT,CULET,CUT,DEPTH_PER,REAL_IMAGE,EYE_CLEAN,FLS,KEY_TO_SYMBOLS,LAB,LASER_INSCRIPTION,MEASUREMENT,LENGTH_1,WIDTH,DEPTH,PAV_ANGLE,PAV_HEIGHT,POLISH,RAP_PRICE,CTS,AVG_DIA,DISC_PER,NET_RATE,NET_VALUE,SHAPE,SHADE,SYMM,TABLE_PER,HA,PACKET_NO,LOCATION,CENTER_NATTS,SIDE_NATTS,CENTER_FEATHER,SIDE_FEATHER,CROWN_OPEN,POP,XTOP,BRAND,TYPE2_CERT,BRILLIANCY,DNA,ARROW_IMAGE,ASST_SCOPE_IMAGE,B2C_MP4,B2C_IMAGE,GIRDLE,COMMENTS,CERTI_LINK,VIDEO
2221991141,http://diamondmedia.s3.amazonaws.com/CERTPDF/2221991141.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1113098901&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113098901/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1113098901.gif,VVS1,E,Additional pinpoints are not shown.,36,15.5,NONE,EX,62.4,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113098901/still.jpg,Y,STG,Pinpoint  Needle,GIA,GIA 2221991141,12.75*12.68*7.94,12.75,12.68,7.94,40.6,43,EX,82500,8.02,0,-53,38775,310975.5,RD,WHT,EX,57,EX,1113098901,IND,CN0,SN0,CW0,SW0,N,N,N,,,EX,http://view.diadna.com/dna/1113098901,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113098901/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1113098901/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1113098901/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1113098901/still.jpg,MED - STK,,,
2221901636,http://diamondmedia.s3.amazonaws.com/CERTPDF/2221901636.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113045001&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113045001/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113045001.gif,VS1,F,Additional clouds are not shown.,33.5,13.5,NONE,EX,61,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113045001/still.jpg,Y,NON,Cloud  Crystal,GIA,GIA 2221901636,12.32*12.26*7.5,12.32,12.26,7.5,40.8,43,EX,56500,7.02,0,-24,42940,301438.8,RD,WHT,EX,59,EX,3113045001,USA,CN0,SN0,CW2,SW1,N,N,N,,,EX,http://view.diadna.com/dna/3113045001,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113045001/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113045001/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113045001/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113045001/still.jpg,MED - STK,,,
2225927999,http://diamondmedia.s3.amazonaws.com/CERTPDF/2225927999.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113044601&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113044601/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113044601.gif,VS2,K,Clouds are not shown. Pinpoints are not shown.,36.5,15.5,NONE,EX,62.6,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113044601/still.jpg,Y,NON,Feather  Crystal  Needle  Indented Natural,GIA,GIA 2225927999,11.59*11.51*7.24,11.59,11.51,7.24,41,43,EX,18000,6.01,0,-29,12780,76807.8,RD,LYL,EX,58,EX,3113044601,IND,CN1,SN0,CW2,SW1,N,N,N,,,EX,http://view.diadna.com/dna/3113044601,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113044601/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113044601/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113044601/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113044601/still.jpg,MED - STK,,,
2225926729,http://diamondmedia.s3.amazonaws.com/CERTPDF/2225926729.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1113088601&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113088601/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1113088601.gif,VVS1,F,,35.5,15,NONE,EX,62.7,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113088601/still.jpg,Y,STG,Pinpoint  Feather,GIA,GIA 2225926729,11.25*11.16*7.02,11.25,11.16,7.02,41,43.5,EX,71500,5.5,0,-65,25025,137637.5,RD,WHT,EX,58,VG,1113088601,IND,CN0,SN0,CW0,SW0,N,N,N,,,VG,http://view.diadna.com/dna/1113088601,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1113088601/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1113088601/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1113088601/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1113088601/still.jpg,MED - STK,,,
6452991581,http://diamondmedia.s3.amazonaws.com/CERTPDF/6452991581.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=4143002401&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143002401/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/4143002401.gif,VVS2,D,Additional clouds are not shown. Additional pinpoints are not shown.,35.5,14.5,NONE,EX,62,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143002401/still.jpg,Y,NON,Pinpoint  Cloud  Feather,GIA,GIA 6452991581,11.41*11.32*7.04,11.41,11.32,7.04,40.8,43,EX,83500,5.69,0,-37,52605,299322.45,RD,WHT,EX,59,VG,4143002401,USA,CN0,SN0,CW1,SW1,N,N,N,,,EX,http://view.diadna.com/dna/4143002401,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143002401/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/4143002401/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/4143002401/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/4143002401/still.jpg,STK,,,
1226991152,http://diamondmedia.s3.amazonaws.com/CERTPDF/1226991152.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=1723004101&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1723004101/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/1723004101.gif,VS1,F,Pinpoints are not shown.,35.5,15.5,NONE,EX,62.4,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1723004101/still.jpg,Y,MED,Crystal  Needle,GIA,GIA 1226991152,11.25*11.18*7,11.25,11.18,7,40.6,43,EX,56500,5.52,0,-54,25990,143464.8,RD,WHT,EX,57,VG,1723004101,IND,CN1,SN0,CW1,SW1,N,N,N,,,EX,http://view.diadna.com/dna/1723004101,http://diamondmedia.s3.amazonaws.com/B2B/imaged/1723004101/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/1723004101/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1723004101/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/1723004101/still.jpg,STK,,,
7466718580,http://diamondmedia.s3.amazonaws.com/CERTPDF/7466718580.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113103501&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113103501/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113103501.gif,VS1,H,Additional clouds are not shown. Pinpoints are not shown.,34,13.5,NONE,EX,62.4,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113103501/still.jpg,Y,NON,Cloud  Feather  Needle,GIA,GIA 7466718580,10.95*10.87*6.81,10.95,10.87,6.81,41.8,44.5,EX,38500,5.01,0,-34,25410,127304.1,RD,WHT,EX,60,VG,3113103501,USA,CN0,SN0,CW1,SW1,N,N,N,,,EX,http://view.diadna.com/dna/3113103501,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113103501/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113103501/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113103501/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113103501/still.jpg,MED - STK,,,
7461811332,http://diamondmedia.s3.amazonaws.com/CERTPDF/7461811332.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=4143001901&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143001901/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/4143001901.gif,VS2,K,Pinpoints are not shown. Clouds are not shown.,36,15.5,NONE,EX,62.8,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143001901/still.jpg,Y,MED,Crystal  Feather  Needle,GIA,GIA 7461811332,10.87*10.8*6.81,10.87,10.8,6.81,40.8,43,EX,18000,5.02,0,-43,10260,51505.2,RD,LYL,EX,58,VG,4143001901,USA,CN1,SN1,CW1,SW1,N,N,N,,,EX,http://view.diadna.com/dna/4143001901,http://diamondmedia.s3.amazonaws.com/B2B/imaged/4143001901/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/4143001901/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/4143001901/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/4143001901/still.jpg,STK,,,
1226927977,http://diamondmedia.s3.amazonaws.com/CERTPDF/1226927977.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=2303005101&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/2303005101/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/2303005101.gif,VS2,L,Additional clouds are not shown. Pinpoints are not shown.,35.5,15,NONE,EX,62.3,http://diamondmedia.s3.amazonaws.com/B2B/imaged/2303005101/still.jpg,Y,FNT,Cloud  Crystal  Needle,GIA,GIA 1226927977,10.95*10.86*6.79,10.95,10.86,6.79,40.8,43,EX,14500,5.06,0,-38,8990,45489.4,RD,LYL,EX,58,VG,2303005101,IND,CN1,SN0,CW1,SW0,N,N,N,,,EX,http://view.diadna.com/dna/2303005101,http://diamondmedia.s3.amazonaws.com/B2B/imaged/2303005101/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/2303005101/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/2303005101/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/2303005101/still.jpg,MED - STK,,,
3465127202,http://diamondmedia.s3.amazonaws.com/CERTPDF/3465127202.pdf,https://s3.amazonaws.com/diamondmedia/B2B/Vision360.html?d=3113046901&sr=10&s=20,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113046901/Heart_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/PLOTTING/3113046901.gif,SI1,L,Clouds are not shown. Pinpoints are not shown.,32,13,NONE,EX,61.3,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113046901/still.jpg,N,NON,Crystal  Needle,GIA,GIA 3465127202,11.1*11.06*6.79,11.1,11.06,6.79,41.6,44.5,EX,13500,5.1,0,-47,7155,36490.5,RD,LYL,EX,59,VG,3113046901,USA,CN3,SN0,CW2,SW1,N,N,N,,,EX,http://view.diadna.com/dna/3113046901,http://diamondmedia.s3.amazonaws.com/B2B/imaged/3113046901/Arrow_Black_BG.jpg,https://diamondmedia.s3.us-east-1.amazonaws.com/B2B/imaged/3113046901/ASET_Black_BG.jpg,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113046901/video.mp4,http://diamondmedia.s3.amazonaws.com/B2C/imaged/3113046901/still.jpg,MED - STK,,,
