Stone_NO,Shape,Weight,Color,Clarity,Cut,Polish,Symm,FlrIntens,FlrColor,FColor,FCIntens,FCOverton,Measurement,Diameter_Min,Diameter_Max,Total_Depth,Lab,LabLocation,Lab_Report_No,LabLink,Lab_Report_Date,Laser_Inscription,Treatment,Location,Total_Depth_Per,Table_Diameter_Per,GirdleName,GirdleThin_ID,GirdleThick_ID,Girdle_Per,GirdleCon,CuletSize,CuletCon,CrownHeight,CrownAngle,PavillionHeight,PavillionAngle,PairStock_No,Parcels_Stone,Comment,KeyToSymbols,Shade,StarLength,LowerHalve,Table_Inclusion,Black_Inclusion,Side_Inclusion,Open_Inclusion,Brand,HnA,Ratio,Eyeclean,Tinge,Feather_Inclusion,Milkey,Luster,Internal_Graining,Surface_Graining,Natural_Type,ExtraFacet,Fancy_Color_Description,Stone_Comment,NewArrival,StockStatus,Is_VedioExist,Is_imgExist,Is_CertyExist,Certificate_file_url,Stone_Img_url,Video_url,Lab_Report_Comment,Remarks,Control_No,LiveRAP,SaleDis,SaleRate,SaleAmt,BIS,BIC,WIS,WIC,CVD_HPHT
KG-28953,ROUND,0.360,K,SI2,EX,EX,EX,NON,,,,,4.51 - 4.53 * 2.85,4.51,4.53,2.85,GIA,HONGKONG,1368227110,https://www.gia.edu/report-check?reportno=1368227110,,GIA 1368227110,,HK,63.10,56.00,MED,MED,,3.50,FACETED,NONE,,16.00,36.50,43.50,41.00,,,,Crystal,N,50.00,80.00,,HEAVY BLACK,,,,,0,EC,NO BGM,TC,N,,,,,,,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,23/10/2020,ONMEMO,NO,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-28953.jpg,,,,100542236718,900.0,-27.0,657.0,236.52,,,,,
KG-47358,ROUND,0.310,G,SI1,EX,EX,EX,FNT,,,,,4.33 - 4.35 * 2.69,4.33,4.35,2.69,GIA,HONGKONG,6382812908,https://www.gia.edu/report-check?reportno=6382812908,,GIA 6382812908,,HK,62.10,59.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.00,34.50,44.00,41.60,,,,Cloud,,50.00,80.00,SB0,TB0,SF0,SC0,,,0,,,TF0,,,,,,,,SLIGHT MILKY  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,07/06/2021,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-47358.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-47358,,,441,1600.0,-28.75,1140.0,353.4,,,,,
KG-48213,ROUND,0.300,D,SI1,EX,EX,VG,NON,,,,,4.25 - 4.28 * 2.66,4.25,4.28,2.66,GIA,HONGKONG,1383814575,https://www.gia.edu/report-check?reportno=1383814575,,GIA 1383814575,,HK,62.30,56.00,STK,STK,,4.00,FACETED,NONE,,15.50,35.00,42.50,40.60,,,,Crystal,,50.00,80.00,SB0,TB2,SF0,SC0,,,0,,,TF0,,,,,,,,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,07/06/2021,AVAILABLE,NO,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-48213.jpg,,,DL,477,1900.0,-37.0,1197.0,359.1,,,,,
KG-48983,ROUND,0.700,I,SI1,EX,EX,EX,FNT,,,,,5.63 - 5.67 * 3.55,5.63,5.67,3.55,GIA,HONGKONG,6395012615,https://www.gia.edu/report-check?reportno=6395012615,,GIA 6395012615,,HK,62.90,57.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.00,34.50,44.00,41.60,,,,Twinning Wisp,,50.00,80.00,SB0,TB0,SF0,SC1,,,0,,,TF0,,,,,,,,NO BGM  100% EYE CLEAN ,28/06/2021,AVAILABLE,NO,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-48983.jpg,,,,329,2600.0,-33.08,1739.91,1217.94,,,,,
KG-49699,ROUND,0.720,J,SI2,EX,EX,EX,NON,,,,,5.74 - 5.75 * 3.55,5.74,5.75,3.55,GIA,HONGKONG,3395013374,https://www.gia.edu/report-check?reportno=3395013374,,GIA 3395013374,,HK,61.80,59.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.50,35.50,43.50,41.00,,,,Crystal,,50.00,80.00,SB0,TB0,SF0,SC0,,,0,,,TF1,,,,,,,,MIX TINGE  100% EYE CLEAN,28/06/2021,AVAILABLE,NO,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-49699.jpg,,,,540,2000.0,-29.85,1403.0,1010.16,,,,,
KG-50789,ROUND,0.400,H,VS1,EX,EX,VG,NON,,,,,4.74 - 4.77 * 2.89,4.74,4.77,2.89,GIA,HONGKONG,1398179190,https://www.gia.edu/report-check?reportno=1398179190,,GIA 1398179190,,HK,60.80,60.00,MED to STK,MED,STK,4.00,FACETED,NONE,,12.50,32.50,44.00,41.60,,,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh Chheta Whats App. +852 66926785,Cavity  Feather  Needle  Pinpoint,,50.00,75.00,SB0,TB0,SF0,SC0,,,0,,,TF0,,,,,,,,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,13/07/2021,AVAILABLE,NO,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-50789.jpg,,,DL,420,2400.0,-36.0,1536.0,614.4,,,,,
KG-56315,ROUND,0.300,I,SI2,EX,EX,EX,NON,,,,,4.24 - 4.27 * 2.68,4.24,4.27,2.68,GIA,HONGKONG,7392758028,https://www.gia.edu/report-check?reportno=7392758028,,GIA 7392758028,,HK,63.00,56.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,36.50,43.00,40.80,,,,Feather  Crystal,,50.00,80.00,SB0,TB1,SF1,SC0,,,1.01,,,TF1,,,,,,,,MIX TINGE  100% EYE CLEAN,06/09/2021,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-56315.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-56315,,,124,1200.0,-32.0,816.0,244.8,,,,,
KG-57179,ROUND,0.300,I,VS1,VG,EX,VG,NON,,,,,4.16 - 4.21 * 2.66,4.16,4.21,2.66,GIA,HONGKONG,1399745599,https://www.gia.edu/report-check?reportno=1399745599,,GIA 1399745599,,HK,63.70,58.00,STK to THK,STK,THK,5.50,FACETED,NONE,,16.00,37.00,42.50,40.40,,,,Feather  Indented Natural  Pinpoint,,50.00,80.00,SB0,TB0,SF0,SC0,,,1.01,,,TF1,,,,,,,,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,06/09/2021,AVAILABLE,NO,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-57179.jpg,,,DL,272,1700.0,-43.5,960.5,288.15,,,,,
KG-67621,ROUND,0.310,I,VS2,EX,EX,EX,NON,,,,,4.37 - 4.38 * 2.70,4.37,4.38,2.70,GIA,HONGKONG,6415222517,https://www.gia.edu/report-check?reportno=6415222517,,GIA 6415222517,,HK,61.80,58.00,MED to STK,MED,STK,3.50,FACETED,NONE,,15.00,35.50,43.00,40.80,,,,Cloud,,45.00,80.00,SB0,TB0,SF0,SC0,,,0.997717,,,TF0,,,,,,,,SLIGHT MILKY  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,08/12/2021,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-67621.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-67621,,,287,1600.0,-41.0,944.0,292.64,,,,,
KG-66688,ROUND,0.300,I,SI2,EX,EX,EX,NON,,,,,4.26 - 4.29 * 2.64,4.26,4.29,2.64,GIA,HONGKONG,7416237267,https://www.gia.edu/report-check?reportno=7416237267,,GIA 7416237267,,HK,61.70,60.00,STK,STK,,4.00,FACETED,NONE,,14.50,35.50,43.50,41.00,,,,Feather,,50.00,80.00,SB0,TB1,SF0,SC0,,,0.993007,,,TF1,,,,,,,,MIX TINGE  100% EYE CLEAN,08/12/2021,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-66688.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-66688,,DL,9,1200.0,-46.0,648.0,194.4,,,,,
